dataset,protected_attribute,class_idx,metric_name,metric_value,model,target_form,n_train,n_test,cf_n_samples,non_vacuous,non_vacuous_tpr,pc_n_rows
ricci,Race,1,demographic_parity_difference,0.0625,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,disparate_impact_ratio,0.8888888888888888,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,equal_opportunity_difference,0.0,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,equalised_odds_difference,0.2222222222222222,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,statistical_parity_difference,0.0625,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,average_absolute_odds_difference,0.1111111111111111,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,average_equalised_odds_difference,0.1111111111111111,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,accuracy_balance,0.125,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,knn_consistency,0.875,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,lipschitz_fairness,0.9710144927536232,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,abroca,0.0,LogisticRegression,binary,94,24,,True,True,94.0
ricci,Race,1,counterfactual_fairness,0.9583333333333334,LogisticRegression,binary,94,24,24.0,True,True,94.0
ibm_hr,Gender,1,demographic_parity_difference,-0.04389395914819644,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,disparate_impact_ratio,1.3237179487179487,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,equal_opportunity_difference,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,equalised_odds_difference,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,statistical_parity_difference,-0.04389395914819644,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,average_absolute_odds_difference,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,average_equalised_odds_difference,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,accuracy_balance,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,knn_consistency,0.8503401360544217,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,lipschitz_fairness,1.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,abroca,0.0,RandomForestClassifier,binary,1176,294,,True,True,1176.0
ibm_hr,Gender,1,counterfactual_fairness,1.0,RandomForestClassifier,binary,1176,294,294.0,True,True,1176.0
ibm_hr_attrition,Gender,1,demographic_parity_difference,0.013851220457187136,RandomForestClassifier,binary,1176,294,,False,True,1176.0
ibm_hr_attrition,Gender,1,disparate_impact_ratio,0.38362068965517243,RandomForestClassifier,binary,1176,294,,False,True,1176.0
