dataset,accuracy_metric,fairness_metric,base_model,method,lambda_,seed_mean_accuracy,seed_mean_fairness,on_pareto_frontier
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,0.0,0.8076316663685381,0.9657499999999999,False
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,0.05,0.8078130989190708,0.96925,True
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,0.1,0.8073365190504178,0.9570000000000001,False
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,0.3,0.8057662331024966,0.95625,False
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,1.0,0.804653361612961,0.9487500000000001,False
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,3.0,0.8046469731428717,0.9555,False
acs_income,accuracy,counterfactual_fairness,RF,adv_debias,10.0,0.8033424475506605,0.962,False
acs_income,accuracy,counterfactual_fairness,RF,di_remover,0.0,0.8131985792042522,0.932,False
acs_income,accuracy,counterfactual_fairness,RF,di_remover,0.05,0.8120946515728413,0.9259999999999999,False
acs_income,accuracy,counterfactual_fairness,RF,di_remover,0.1,0.8107824598165232,0.9342499999999999,False
acs_income,accuracy,counterfactual_fairness,RF,di_remover,0.3,0.8036720926072624,0.9272500000000001,False
acs_income,accuracy,counterfactual_fairness,RF,di_remover,1.0,0.7601768328520686,1.0,True
acs_income,accuracy,counterfactual_fairness,RF,di_remover,3.0,0.7601768328520686,1.0,True
acs_income,accuracy,counterfactual_fairness,RF,di_remover,10.0,0.7601768328520686,1.0,True
acs_income,accuracy,counterfactual_fairness,RF,exp_gradient,0.0,0.8134285641274628,0.9295,False
acs_income,accuracy,counterfactual_fairness,RF,exp_gradient,0.05,0.8132139115324662,0.9385,False
acs_income,accuracy,counterfactual_fairness,RF,exp_gradient,0.1,0.8134285641274628,0.9295,False
acs_income,accuracy,counterfactual_fairness,RF,exp_gradient,0.3,0.7896097922469527,0.84275,False
acs_income,accuracy,counterfactual_fairness,RF,exp_gradient,1.0,0.778971711854445,0.8025,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,0.0,0.8131985792042522,0.932,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,0.05,0.718509953236399,0.9765,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,0.1,0.712871489535686,0.95625,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,0.3,0.7010834845271254,0.9535,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,1.0,0.6748792579153144,0.96225,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,3.0,0.6324457618889429,0.95225,False
acs_income,accuracy,counterfactual_fairness,RF,lfr,10.0,0.5849347098356885,0.96875,False
acs_income,accuracy,counterfactual_fairness,RF,optim_preproc,0.0,0.8131985792042522,0.932,False
acs_income,accuracy,counterfactual_fairness,RF,reweighing,0.0,0.8131985792042522,0.932,False
acs_income,accuracy,counterfactual_fairness,RF,reweighing,0.05,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,reweighing,0.1,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,reweighing,0.3,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,reweighing,1.0,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,reweighing,3.0,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,reweighing,10.0,0.8134886157463012,0.9404999999999999,True
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,0.0,0.8131985792042522,0.932,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,0.05,0.8126670584928322,0.931,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,0.1,0.8126670584928322,0.931,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,0.3,0.8126670584928322,0.931,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,1.0,0.8126670584928322,0.931,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,3.0,0.8126670584928322,0.931,False
acs_income,accuracy,counterfactual_fairness,RF,smote_nc,10.0,0.8126670584928322,0.931,False
acs_income,accuracy,equal_opportunity,RF,adv_debias,0.0,0.8076316663685381,0.08043848638291472,False
acs_income,accuracy,equal_opportunity,RF,adv_debias,0.05,0.8078130989190708,0.06046434751560668,True
acs_income,accuracy,equal_opportunity,RF,adv_debias,0.1,0.8073365190504178,0.04717801970276174,True
acs_income,accuracy,equal_opportunity,RF,adv_debias,0.3,0.8057662331024966,0.008957421256789295,True
acs_income,accuracy,equal_opportunity,RF,adv_debias,1.0,0.804653361612961,-0.007640425811721386,True
acs_income,accuracy,equal_opportunity,RF,adv_debias,3.0,0.8046469731428717,0.0042846688557081946,False
acs_income,accuracy,equal_opportunity,RF,adv_debias,10.0,0.8033424475506605,0.02084157549226543,False
acs_income,accuracy,equal_opportunity,RF,di_remover,0.0,0.8131985792042522,0.06759212139360724,False
acs_income,accuracy,equal_opportunity,RF,di_remover,0.05,0.8120946515728413,0.06586299949582411,False
acs_income,accuracy,equal_opportunity,RF,di_remover,0.1,0.8107824598165232,0.06549387979795489,False
acs_income,accuracy,equal_opportunity,RF,di_remover,0.3,0.8036720926072624,0.06383820691751464,False
acs_income,accuracy,equal_opportunity,RF,di_remover,1.0,0.7601768328520686,0.03451156967325028,False
acs_income,accuracy,equal_opportunity,RF,di_remover,3.0,0.7601768328520686,0.03451156967325028,False
acs_income,accuracy,equal_opportunity,RF,di_remover,10.0,0.7601768328520686,0.03451156967325028,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.0,0.8134285641274628,0.06592759767669658,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.05,0.8132139115324662,0.06525901817219078,False
