dataset,model,target_form,class_idx,pos_label_used,groups,tpr_per_group,abs_eo,non_vacuous_tpr,n_groups_with_positives
acs_income,GradientBoostingClassifier,binary,-1,1,1;2;3;5;6;7;8;9,1=0.801;2=0.662;3=1.000;5=0.667;6=0.806;7=0.500;8=0.514;9=0.741,0.5,True,8
acs_income,KNeighborsClassifier,binary,-1,1,1;2;3;5;6;7;8;9,1=0.763;2=0.634;3=0.500;5=1.000;6=0.734;7=0.750;8=0.432;9=0.586,0.5675675675675675,True,8
acs_income,LogisticRegression,binary,-1,1,1;2;3;5;6;7;8;9,1=0.753;2=0.592;3=0.750;5=0.667;6=0.722;7=0.750;8=0.432;9=0.655,0.3207551814109191,True,8
acs_income,MLPClassifier,binary,-1,1,1;2;3;5;6;7;8;9,1=0.755;2=0.648;3=1.000;5=0.333;6=0.770;7=0.500;8=0.473;9=0.672,0.6666666666666667,True,8
acs_income,RandomForestClassifier,binary,-1,1,1;2;3;5;6;7;8;9,1=0.769;2=0.648;3=1.000;5=0.333;6=0.794;7=0.500;8=0.446;9=0.707,0.6666666666666667,True,8
acs_income,XGBClassifier,binary,-1,1,1;2;3;5;6;7;8;9,1=0.804;2=0.662;3=0.750;5=0.333;6=0.812;7=0.500;8=0.500;9=0.724,0.4786069651741293,True,8
dutch_census,GradientBoostingClassifier,binary,-1,1,female;male,female=0.738;male=0.869,0.13018589629547794,True,2
dutch_census,KNeighborsClassifier,binary,-1,1,female;male,female=0.745;male=0.834,0.08967896597131908,True,2
dutch_census,LogisticRegression,binary,-1,1,female;male,female=0.749;male=0.826,0.07638439273723363,True,2
dutch_census,MLPClassifier,binary,-1,1,female;male,female=0.733;male=0.861,0.1280247648710131,True,2
dutch_census,RandomForestClassifier,binary,-1,1,female;male,female=0.738;male=0.843,0.10556548883514716,True,2
dutch_census,XGBClassifier,binary,-1,1,female;male,female=0.744;male=0.850,0.10694770852643654,True,2
ibm_hr_attrition,GradientBoostingClassifier,binary,-1,1,Female;Male,Female=0.154;Male=0.265,0.11085972850678733,True,2
ibm_hr_attrition,KNeighborsClassifier,binary,-1,1,Female;Male,Female=0.077;Male=0.118,0.04072398190045248,True,2
ibm_hr_attrition,LogisticRegression,binary,-1,1,Female;Male,Female=0.462;Male=0.324,0.13800904977375567,True,2
ibm_hr_attrition,MLPClassifier,binary,-1,1,Female;Male,Female=0.308;Male=0.294,0.01357466063348417,True,2
ibm_hr_attrition,RandomForestClassifier,binary,-1,1,Female;Male,Female=0.077;Male=0.118,0.04072398190045248,True,2
ibm_hr_attrition,XGBClassifier,binary,-1,1,Female;Male,Female=0.077;Male=0.206,0.12895927601809953,True,2
ibm_hr_perfrating,GradientBoostingClassifier,binary,-1,4,Female;Male,Female=0.048;Male=0.083,0.03571428571428571,False,2
ibm_hr_perfrating,KNeighborsClassifier,binary,-1,4,Female;Male,Female=0.048;Male=0.000,0.047619047619047616,False,2
ibm_hr_perfrating,LogisticRegression,binary,-1,4,Female;Male,Female=0.000;Male=0.000,0.0,False,2
ibm_hr_perfrating,MLPClassifier,binary,-1,4,Female;Male,Female=0.095;Male=0.083,0.011904761904761904,True,2
ibm_hr_perfrating,RandomForestClassifier,binary,-1,4,Female;Male,Female=0.000;Male=0.000,0.0,False,2
ibm_hr_perfrating,XGBClassifier,binary,-1,4,Female;Male,Female=0.095;Male=0.042,0.05357142857142857,False,2
oulad,GradientBoostingClassifier,multiclass,0,0,0;1,0=0.223;1=0.267,0.04398030009186485,True,2
oulad,GradientBoostingClassifier,multiclass,1,1,0;1,0=0.903;1=0.875,0.02826424129259586,True,2
